dependent,regressor,coef,se,pvalue,nobs,r2
br,const,3.551227608922734e-05,6.499400714129031e-05,0.5847957621816057,6240,0.001640544337641825
br,ANN_t,0.00035728415988234443,0.0007808977174719454,0.6472901192737539,6240,0.001640544337641825
br,ANN_t_lag1,-0.0017853830146673738,0.0012247404821372836,0.14490550744190178,6240,0.001640544337641825
br,ANN_t_lag2,-0.0005406845497601104,0.0005024211899189281,0.28185662935623335,6240,0.001640544337641825
br,ANN_t_lead1,-0.0017565927555476845,0.0010252205651544982,0.08664259165093233,6240,0.001640544337641825
br,ANN_t_lead2,0.00020330590681920854,0.0006558658825987541,0.756575469158875,6240,0.001640544337641825
br,ANN_minus_t,-0.0004349585643327751,0.0009442619923429408,0.6450616807788455,6240,0.001640544337641825
br,ANN_minus_t_lag1,0.0008407337932504676,0.0014544596422140336,0.5632380693253659,6240,0.001640544337641825
bf,const,-0.004913511585214931,0.04609444979764205,0.9151090167483504,6240,0.0008467440221544553
bf,ANN_t,-0.1678263106910996,0.5712780132501089,0.7689310270744836,6240,0.0008467440221544553
bf,ANN_t_lag1,0.7039662777622578,0.6113741589706663,0.24954748861119158,6240,0.0008467440221544553
bf,ANN_t_lag2,0.9491231484490625,0.4810395615729808,0.048487961666952004,6240,0.0008467440221544553
bf,ANN_t_lead1,0.28623302417349294,0.4635501604530097,0.5369180679616774,6240,0.0008467440221544553
bf,ANN_t_lead2,0.063467614093529,0.411807663091667,0.8775154692339594,6240,0.0008467440221544553
bf,ANN_minus_t,0.250016956508473,0.8325386580762003,0.7639432052567199,6240,0.0008467440221544553
bf,ANN_minus_t_lag1,-0.4003401385980677,0.925078448095185,0.665186630590506,6240,0.0008467440221544553
