indicator,release_datetime_CT,negative
Construction Spending,2022-01-03T10:00:00-06:00,1
Construction Spending,2022-02-01T10:00:00-06:00,1
Construction Spending,2022-03-01T10:00:00-06:00,0
Construction Spending,2022-04-01T09:00:00-05:00,1
Construction Spending,2022-05-02T09:00:00-05:00,1
Construction Spending,2022-06-01T09:00:00-05:00,1
Construction Spending,2022-07-01T09:00:00-05:00,1
Construction Spending,2022-08-01T09:00:00-05:00,1
Construction Spending,2022-09-01T09:00:00-05:00,0
Construction Spending,2022-10-03T09:00:00-05:00,1
Construction Spending,2022-11-01T09:00:00-05:00,0
Construction Spending,2022-12-01T10:00:00-06:00,0
Consumer Confidence,2022-01-25T10:00:00-06:00,0
Consumer Confidence,2022-02-22T10:00:00-06:00,0
Consumer Confidence,2022-03-29T09:00:00-05:00,0
Consumer Confidence,2022-04-26T09:00:00-05:00,1
Consumer Confidence,2022-05-31T09:00:00-05:00,0
Consumer Confidence,2022-06-28T09:00:00-05:00,1
Consumer Confidence,2022-07-26T09:00:00-05:00,1
Consumer Confidence,2022-08-30T09:00:00-05:00,0
Consumer Confidence,2022-09-27T09:00:00-05:00,0
Consumer Confidence,2022-10-25T09:00:00-05:00,1
Consumer Confidence,2022-11-29T10:00:00-06:00,0
Consumer Confidence,2022-12-21T10:00:00-06:00,0
Existing Home Sales,2022-01-20T10:00:00-06:00,0
Existing Home Sales,2022-02-18T10:00:00-06:00,0
Existing Home Sales,2022-03-18T09:00:00-05:00,0
Existing Home Sales,2022-04-20T09:00:00-05:00,0
Existing Home Sales,2022-05-19T09:00:00-05:00,0
Existing Home Sales,2022-06-21T09:00:00-05:00,0
Existing Home Sales,2022-07-20T09:00:00-05:00,0
Existing Home Sales,2022-08-18T09:00:00-05:00,0
Existing Home Sales,2022-09-21T09:00:00-05:00,0
Existing Home Sales,2022-10-20T09:00:00-05:00,0
Existing Home Sales,2022-11-18T10:00:00-06:00,0
Existing Home Sales,2022-12-21T10:00:00-06:00,0
Factory Orders,2022-01-06T10:00:00-06:00,0
Factory Orders,2022-02-03T10:00:00-06:00,1
Factory Orders,2022-03-03T10:00:00-06:00,0
Factory Orders,2022-04-04T09:00:00-05:00,0
Factory Orders,2022-05-03T09:00:00-05:00,0
Factory Orders,2022-06-02T09:00:00-05:00,1
Factory Orders,2022-07-05T09:00:00-05:00,0
Factory Orders,2022-08-03T09:00:00-05:00,0
Factory Orders,2022-09-02T09:00:00-05:00,1
Factory Orders,2022-10-04T09:00:00-05:00,1
Factory Orders,2022-11-03T09:00:00-05:00,0
Factory Orders,2022-12-05T10:00:00-06:00,0
ISM Manufacturing,2022-01-04T10:00:00-06:00,1
ISM Manufacturing,2022-02-01T10:00:00-06:00,0
ISM Manufacturing,2022-03-01T10:00:00-06:00,0
ISM Manufacturing,2022-04-01T09:00:00-05:00,1
ISM Manufacturing,2022-05-02T09:00:00-05:00,1
ISM Manufacturing,2022-06-01T09:00:00-05:00,0
ISM Manufacturing,2022-07-01T09:00:00-05:00,1
ISM Manufacturing,2022-08-01T09:00:00-05:00,0
ISM Manufacturing,2022-09-01T09:00:00-05:00,0
ISM Manufacturing,2022-10-03T09:00:00-05:00,1
ISM Manufacturing,2022-11-01T09:00:00-05:00,0
ISM Manufacturing,2022-12-01T10:00:00-06:00,1
ISM Non-Manufacturing,2022-01-06T10:00:00-06:00,1
ISM Non-Manufacturing,2022-02-03T10:00:00-06:00,0
ISM Non-Manufacturing,2022-03-03T10:00:00-06:00,1
ISM Non-Manufacturing,2022-04-05T09:00:00-05:00,1
ISM Non-Manufacturing,2022-05-04T09:00:00-05:00,1
ISM Non-Manufacturing,2022-06-03T09:00:00-05:00,1
ISM Non-Manufacturing,2022-07-06T09:00:00-05:00,0
ISM Non-Manufacturing,2022-08-03T09:00:00-05:00,0
ISM Non-Manufacturing,2022-09-06T09:00:00-05:00,0
ISM Non-Manufacturing,2022-10-05T09:00:00-05:00,0
ISM Non-Manufacturing,2022-11-03T09:00:00-05:00,1
ISM Non-Manufacturing,2022-12-05T10:00:00-06:00,0
